-1140	-1140	0
-1045	-1235	1
-1015	-1260	1
-1010	-1265	1
-920	-1330	1
-915	-1335	1
-850	-1375	1
-845	-1375	1
-745	-1420	1
-740	-1425	1
-575	-1465	1
-500	-1475	1
-480	-1475	1
-340	-1465	1
-320	-1460	1
-310	-1460	1
-240	-1445	1
-205	-1435	1
-175	-1420	1
-110	-1395	1
35	-1310	1
120	-1240	1
150	-1215	1
240	-1120	1
325	-1010	1
340	-985	1
390	-900	1
440	-805	1
470	-735	1
480	-710	1
485	-700	1
555	-470	1
565	-425	1
580	-375	1
580	-365	1
590	-295	1
610	-100	1
610	-50	1
610	-45	1
600	175	1
580	350	1
555	445	1
530	555	1
525	565	1
515	595	1
465	730	1
445	765	1
435	795	1
410	845	1
320	990	1
290	1035	1
240	1095	1
135	1205	1
25	1295	1
-70	1350	1
-80	1355	1
-90	1365	1
-100	1370	1
-120	1380	1
-190	1405	1
-260	1430	1
-320	1440	1
-365	1445	1
-385	1450	1
-540	1445	1
-660	1425	1
-830	1360	1
-880	1335	1
-930	1300	1
-950	1290	1
-1010	1240	1
-1030	1225	1
-1035	1220	1
-1165	1085	1
-1270	935	1
-1335	825	1
-1365	765	1
-1395	700	1
-1410	650	1
-1450	545	1
-1465	480	1
-1475	435	1
-1490	375	1
-1490	370	1
-1515	195	1
-1530	0	1
-1525	-165	1
-1520	-185	1
-1500	-330	1
-1460	-520	1
-1460	-530	1
-1450	-570	1
-1340	-840	1
-1330	-860	1
-1295	-925	1
-1240	-1010	1
