-230	-386	0
-228	-386	1
-216	-396	1
-212	-398	1
-194	-410	1
-188	-414	1
-166	-426	1
-158	-430	1
-144	-436	1
-92	-456	1
-30	-470	1
-22	-472	1
-14	-472	1
-6	-472	1
0	-472	1
60	-474	1
62	-474	1
118	-466	1
122	-466	1
124	-466	1
132	-464	1
142	-462	1
158	-456	1
190	-446	1
192	-446	1
198	-442	1
208	-438	1
216	-434	1
238	-424	1
270	-404	1
278	-400	1
290	-392	1
334	-354	1
396	-278	1
410	-254	1
418	-238	1
428	-220	1
436	-202	1
438	-194	1
448	-164	1
450	-160	1
452	-150	1
458	-122	1
462	-98	1
466	-40	1
466	-28	1
466	-26	1
464	-16	1
464	-14	1
462	10	1
460	26	1
456	40	1
454	50	1
454	54	1
452	64	1
450	72	1
448	78	1
438	108	1
420	146	1
418	150	1
418	152	1
400	182	1
394	192	1
392	196	1
346	252	1
338	260	1
328	270	1
318	278	1
314	282	1
308	288	1
302	292	1
300	294	1
298	296	1
282	308	1
274	314	1
264	320	1
250	328	1
226	342	1
222	344	1
220	344	1
216	346	1
174	364	1
156	370	1
144	372	1
110	380	1
74	384	1
60	386	1
44	388	1
24	386	1
14	386	1
-16	384	1
-34	382	1
-56	378	1
-76	372	1
-94	368	1
-124	356	1
-126	356	1
-188	326	1
-190	324	1
-200	318	1
-224	300	1
-286	244	1
-288	242	1
-320	202	1
-322	198	1
-342	168	1
-354	142	1
-362	124	1
-370	108	1
-382	66	1
-394	12	1
-394	6	1
-394	4	1
-396	-22	1
-396	-74	1
-394	-100	1
-392	-106	1
-384	-146	1
-384	-148	1
-360	-218	1
-352	-236	1
-350	-240	1
-284	-336	1
-282	-338	1
-280	-340	1
-266	-354	1
-256	-362	1
-254	-364	1
-242	-376	1
-238	-378	1
-230	-386	1
